Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
DraftKings,"Boston, Massachusetts, United States",Active,For Profit,4,1,,1,9,29,"Gaming, Sports","Fantasy Sports, Gaming, Online Games, Sports",12,IPO,9/2/2020,,,,Post-IPO Equity,Post-IPO Equity,,,,719438000,USD,719438000,3,"16,846,594","25,369,150",1.372,,,,"Redpoint, FirstMark, Flybridge, Major League Soccer, GGV Capital"
Argo AI,"Pittsburgh, Pennsylvania, United States",Active,For Profit,,,,,3,3,"Artificial Intelligence, Data and Analytics, Hardware, Science and Engineering, Software, Transportation","Artificial Intelligence, Autonomous Vehicles, Robotics, Transportation",3,,7/21/2021,,,,Corporate Round,Corporate Round,,,,3600000000,USD,3600000000,5,74.578,53.592,361,2052566,USD,2052566,"Lyft, Ford Motor, Volkswagen Group"
Accenture,"Dublin, Dublin, Ireland",Active,For Profit,45,16,6,22,1,1,"Information Technology, Professional Services, Real Estate","Construction, Consulting, Information Technology, Outsourcing",1,IPO,10/1/2018,6000000,USD,6000000,Grant,,,,,6000000,USD,6000000,363,,,,,,,Youth Business International
DigitalOcean,"New York, New York, United States",Active,For Profit,,,,,8,30,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, SaaS, Virtualization, Web Hosting",21,IPO,9/13/2021,34913641,USD,34913641,Post-IPO Equity,Post-IPO Equity,34913641,USD,34913641,491275418,USD,491275418,57,"17,035,411","14,832,070.5",676,18036123,USD,18036123,"Techstars, Trinity Capital, Andreessen Horowitz, Right Side Capital Management, Raison Asset Management"
Celona,"Cupertino, California, United States",Active,For Profit,,,,,6,6,"Hardware, Internet Services, Mobile","Internet, Mobile, Wireless",3,Late Stage Venture,3/28/2022,60000000,USD,60000000,Series C,Series C,60000000,USD,60000000,100000000,USD,100000000,1,28.323,"55,464.67",498,,,,"Norwest Venture Partners, Qualcomm Ventures, Lightspeed Venture Partners, Cervin, NTT Venture Capital"
BuzzFeed,"New York, New York, United States",Active,For Profit,,,,,6,20,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing","Advertising, Digital Entertainment, Journalism, Publishing, Social News",10,IPO,12/3/2021,150000000,USD,150000000,Post-IPO Debt,Series G,200000000,USD,200000000,696300000,USD,696300000,14,"143,562,559","112,747,679.5",729,3539536,USD,3539536,"Andreessen Horowitz, RRE Ventures, Founder Collective, Lerer Hippeau, General Atlantic"
CircleCI,"San Francisco, California, United States",Active,For Profit,,,,,8,23,"Information Technology, Internet Services, Software","Cloud Computing, Developer Tools, Information Technology, PaaS, Productivity Tools, SaaS, Software",11,,10/1/2021,,,,Venture - Series Unknown,Venture - Series Unknown,,,,315000000,USD,315000000,30,"2,264,491","2,326,643.17",883,,,,"500 Startups, DCVC, Scale Venture Partners, Threshold, Institutional Venture Partners"
Ethereum Foundation,"Bern, Bern, Switzerland",Active,Non-profit,10,8,2,,1,14,"Apps, Data and Analytics, Financial Services, Internet Services, Other, Payments, Software","Application Performance Management, Blockchain, Consumer Applications, Cryptocurrency, Developer APIs, Ethereum, Internet, Open Source, Transaction Processing, Virtual Currency",9,M&A,5/1/2017,,,,Secondary Market,Venture - Series Unknown,,,,18400000,USD,18400000,3,"4,557,247","5,164,043.67",759,,,,"Winklevoss Capital, David J. Namdar, Placeholder, KR1, Karnika Yashwant"
FTX US,"San Francisco, California, United States",Active,For Profit,1,1,,,4,12,"Financial Services, Lending and Investments, Payments, Software","Bitcoin, Cryptocurrency, Trading Platform",1,Early Stage Venture,1/26/2022,400000000,USD,400000000,Series A,Series A,400000000,USD,400000000,400000000,USD,400000000,1,"12,091,830","8,838,444.17",458,,,,"Tribe Capital, Temasek Holdings, Paradigm, Lightspeed Venture Partners, Bond"
Beqom,"Fribourg, Fribourg, Switzerland",Active,For Profit,,,,,4,11,"Administrative Services, Software","Enterprise Software, Human Resources, SaaS, Software",8,Private Equity,4/12/2022,277000000,EUR,299883510,Private Equity,Private Equity,277000000,EUR,299883510,359483511,USD,359483511,4,218.609,"220,100.67",116,,,,"Goldman Sachs, Eurazeo, Swisscom Ventures, Sumeru Equity Partners, Golub Capital"
Euler Motors,"New Delhi, Delhi, India",Active,For Profit,,,,,4,11,Transportation,"Automotive, Autonomous Vehicles, Electric Vehicle, Logistics",6,Early Stage Venture,4/17/2022,5000000,USD,5000000,Series B,Series B,5000000,USD,5000000,33093666,USD,33093666,,5.25,2.927,57,,,,"Moglix, ADB Ventures, Sujeet Kumar, Blume Ventures, Emergent Ventures"
BlockTower Capital,"New York, New York, United States",Active,,27,5,1,,2,3,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Finance, Virtual Currency",1,,1/4/2018,140000000,USD,140000000,Venture - Series Unknown,Venture - Series Unknown,140000000,USD,140000000,140000000,USD,140000000,1,5.434,"7,936.83",5,,,,"Andreessen Horowitz, Union Square Ventures, Blue Collective"
Funding Circle,"London, England, United Kingdom",Active,For Profit,5,2,,,8,20,Financial Services,"Finance, Financial Services, FinTech, Lending",10,IPO,12/2/2019,250000000,GBP,323495197,Post-IPO Debt,Series F,100000000,USD,100000000,746417715,USD,746417715,2,754.768,"500,664.83",505,4904742,USD,4904742,"Union Square Ventures, BlackRock, Rocket Internet, Accel, Baillie Gifford"
Dapper Labs,"Vancouver, British Columbia, Canada",Active,For Profit,42,6,2,,6,97,"Gaming, Other, Software","Blockchain, Gaming, Software",9,Late Stage Venture,9/21/2021,250000000,USD,250000000,Series D,Series D,250000000,USD,250000000,607450000,USD,607450000,,134.141,176.165,218,,,,"Snow K., Animoca Brands, Digital Currency Group, Andreessen Horowitz, BlockTower Capital"
FinAccel,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,2,,,1,6,21,"Financial Services, Lending and Investments","Consumer Lending, Finance, Financial Services",5,Late Stage Venture,12/2/2019,90000000,USD,90000000,Series C,Series C,90000000,USD,90000000,120000000,USD,120000000,1,1.308,"3,767.83",0,,,,"500 Startups, Mirae Asset Global Investments, MDI Ventures, Jungle Ventures, Cathay Innovation"
Credpal,"Lagos, Lagos, Nigeria",Active,For Profit,,,,,5,16,"Commerce and Shopping, Financial Services, Payments","E-Commerce, Financial Services, FinTech, Payments",11,,3/30/2022,15000000,USD,15000000,Convertible Note,Venture - Series Unknown,1500000,USD,1500000,16728944,USD,16728944,,16.824,"5,537.17",22,,,,"Y Combinator, Startupbootcamp, GreenHouse Capital, VC4A, Uncovered Fund"
Diligent Robotics,"Austin, Texas, United States",Active,For Profit,,,,,6,17,"Artificial Intelligence, Data and Analytics, Design, Hardware, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care, Human Computer Interaction, Machine Learning, Robotics, Software",6,Early Stage Venture,4/11/2022,30000000,USD,30000000,Series B,Series B,30000000,USD,30000000,45875000,USD,45875000,,8.251,"6,319.33",215,,,,"Gaingels, Tiger Global Management, National Science Foundation, Next Coast Ventures, Capital Factory"
EvolutionIQ,"New York, New York, United States",Active,For Profit,,,,,2,11,"Artificial Intelligence, Data and Analytics, Financial Services, Payments, Privacy and Security, Professional Services, Science and Engineering, Software","Artificial Intelligence, Commercial Insurance, Fraud Detection, Insurance, Risk Management",4,Early Stage Venture,4/12/2022,21000000,USD,21000000,Series A,Series A,21000000,USD,21000000,25986000,USD,25986000,,7.917,,515,,,,"Sedgwick Claims Management Services, Asymmetry Ventures, FirstMark, Plug and Play Tech Center, First Round Capital"
Fasset,"London, England, United Kingdom",Active,For Profit,,,,,2,5,"Financial Services, Other, Payments, Software","Asset Management, Blockchain, Cryptocurrency, Financial Services, FinTech",3,Early Stage Venture,4/15/2022,22000000,USD,22000000,Series A,Series A,22000000,USD,22000000,26700000,USD,26700000,,107.573,"25,498.5",1.016,,,,"Ceras Ventures, Soma Capital, Fatima Gobi Ventures, MyAsia VC, Liberty City Ventures"
CICC,"Beijing, Beijing, China",Active,For Profit,138,55,4,33,1,2,"Financial Services, Lending and Investments","Banking, Finance, Financial Services, Venture Capital",2,IPO,9/20/2017,367000000,USD,367000000,Post-IPO Equity,Post-IPO Equity,367000000,USD,367000000,367000000,USD,367000000,,,,,,,,"Tencent, TPG"
Fyllo,"Chicago, Illinois, United States",Active,For Profit,,,,,4,16,"Community and Lifestyle, Food and Beverage, Health Care, Information Technology, Internet Services, Professional Services, Software","Cannabis, Cloud Computing, Cloud Data Services, Compliance, Enterprise Software",5,Late Stage Venture,11/8/2021,40000000,USD,40000000,Series C,Series C,40000000,USD,40000000,98000000,USD,98000000,,99.416,"27,494.17",802,,,,"K2, Sol Global investments, ArrowMark Partners, Eminence Capital LP, Phyto Partners"
Global Data Consortium,"Raleigh, North Carolina, United States",Active,For Profit,,,,,1,4,"Data and Analytics, Information Technology, Internet Services, Mobile, Platforms, Software","Analytics, Information Services, Information Technology, Internet, iOS, Software",4,M&A,3/24/2021,,,,Venture - Series Unknown,Venture - Series Unknown,,,,3600000,USD,3600000,3,577,,0,,,,"Village Capital, Refinitiv, VilCap Investments, FinRise"
Ather Energy,"Bangalore, Karnataka, India",Active,For Profit,,,,,3,6,"Manufacturing, Transportation","Automotive, Electric Vehicle, Manufacturing",6,Late Stage Venture,1/14/2022,4200000000,INR,56637168,Series D,Series D,4200000000,INR,56637168,158847168,USD,158847168,,"1,588,224","1,334,764.83",164,,,,"Tiger Global Management, HeroMotoCorp Ltd, InnoVen Capital, Binny Bansal, Sachin Bansal"
Ethos,"San Francisco, California, United States",Active,For Profit,,,,,5,19,Financial Services,"Finance, Financial Services, FinTech, Insurance, InsurTech, Life Insurance",7,Late Stage Venture,7/21/2021,100000000,USD,100000000,Series D,Series D,100000000,USD,100000000,406500000,USD,406500000,1,468.215,152.443,186,,,,"Sequoia Capital, General Catalyst, Goldman Sachs, GV, Accel"
Afterpay,"Melbourne, Victoria, Australia",Active,For Profit,2,1,,,3,3,"Commerce and Shopping, Financial Services, Hardware, Payments, Software","E-Commerce, FinTech, Payments, Retail Technology",3,M&A,8/20/2020,,,,Post-IPO Equity,Post-IPO Equity,,,,448704346,USD,448704346,1,"80,133,051","26,733,830",555,,,,"Tencent, Coatue, Mitsubishi UFJ Financial Group"
Bitpanda,"Vienna, Wien, Austria",Active,For Profit,1,,,,4,8,"Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, FinTech",6,Late Stage Venture,8/17/2021,263000000,USD,263000000,Series C,Series C,263000000,USD,263000000,546013472,USD,546013472,2,"3,941,082","3,532,379",634,,,,"Wintermute Trading, Jump Capital, Valar Ventures, Speedinvest, DST Global"
Goldbelly,"New York, New York, United States",Active,For Profit,,,,,4,18,"Commerce and Shopping, Food and Beverage, Transportation","Delivery Service, E-Commerce, Food and Beverage, Last Mile Transportation",7,Late Stage Venture,5/18/2021,100000000,USD,100000000,Series C,Series C,100000000,USD,100000000,133120000,USD,133120000,4,"3,450,572","7,848,431.5",351,61001,USD,61001,"500 Startups, FundersClub, Y Combinator, Draper Associates, Global Founders Capital"
BluSmart Mobility,"Ahmedabad, Gujarat, India",Active,For Profit,,,,,4,24,"Apps, Mobile, Software, Transportation","Electric Vehicle, Mobile Apps, Ride Sharing, Transportation",7,Early Stage Venture,3/24/2022,,,,Debt Financing,Series A,1850000000,INR,24914264,41977204,USD,41977204,,26.422,"10,264.5",34,,,,"LetsVenture, BlackSoil, Venture Catalysts, Inflection Point Ventures, 9Unicorns Accelerator Fund"
Click Therapeutics,"New York, New York, United States",Active,For Profit,,,,,6,15,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Medical Device, Pharmaceutical, Therapeutics",11,Early Stage Venture,4/15/2022,15000000,USD,15000000,Debt Financing,Series B,52000000,USD,52000000,926382500,USD,926382500,,7.65,"6,669.83",0,,,,"Silicon Valley Bank, Hikma Ventures, Boehringer Ingelheim, Health Catalyst Capital, Sanofi Ventures"
Cohesity,"San Jose, California, United States",Active,For Profit,,,,,9,26,"Data and Analytics, Hardware, Information Technology, Internet Services, Software","Analytics, Cloud Computing, Data Center, Data Storage, Information Technology",6,Late Stage Venture,4/9/2020,250000000,USD,250000000,Series E,Series E,250000000,USD,250000000,660000000,USD,660000000,45,500.799,"310,839.67",1.5,17063309,USD,17063309,"Sequoia Capital, GV, SoftBank Vision Fund, Accel, Baillie Gifford"
Cuyana,"San Francisco, California, United States",Active,For Profit,,,,,1,4,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design","E-Commerce, Fashion, Women's",4,Late Stage Venture,2/5/2019,30000000,USD,30000000,Series C,Series C,30000000,USD,30000000,31700000,USD,31700000,,427.833,"289,082.5",776,,,,"H.I.G. Capital, Greycroft, Canaan Partners, InterWest Partners"
Aave,"London, England, United Kingdom",Active,For Profit,,,,,5,8,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Ethereum, Financial Services, FinTech, Lending, Open Source, Peer to Peer",6,,1/30/2021,,,,Secondary Market,Venture - Series Unknown,25000000,USD,25000000,49000000,USD,49000000,13,"1,633,250","2,176,180.33",400,,,,"Blockchain Capital, ParaFi Capital, Framework Ventures, Three Arrows Capital, Standard Crypto"
Decentraland,"Beijing, Beijing, China",Active,For Profit,,,,,,9,"Consumer Electronics, Hardware, Other, Software","3D Technology, Blockchain, Computer, Software, Virtual Reality",4,,11/18/2021,,,,Secondary Market,Venture - Series Unknown,,,,25500000,USD,25500000,1,"2,024,114","2,676,275",981,,,,"Broslyn Capital, Animoca Brands, Digital Currency Group, Fabric Ventures, Fundamental Labs"
Coupa Software,"San Mateo, California, United States",Active,For Profit,,,,,7,15,"Financial Services, Hardware, Internet Services, Software, Transportation","Cloud Infrastructure, FinTech, Procurement, Software",9,IPO,6/3/2021,50000000,USD,50000000,Post-IPO Equity,Post-IPO Equity,50000000,USD,50000000,219000000,USD,219000000,5,385.556,"513,554.17",814,78029533,USD,78029533,"T. Rowe Price, Crosslink Capital, BlueRun Ventures, Battery Ventures, Rally Ventures"
Azimo,"London, England, United Kingdom",Active,For Profit,,,,,6,20,"Financial Services, Mobile, Payments, Software","Financial Services, FinTech, Mobile Payments, Personal Finance",7,M&A,2/4/2020,20000000,EUR,22089903,Debt Financing,Series C,20000000,USD,20000000,88089904,USD,88089904,,563.134,"528,826.83",398,12771362,USD,12771362,"Rakuten, Headline, Quona Capital, Anthemis Group, Silicon Valley Bank"
Capital on Tap,"London, England, United Kingdom",Active,For Profit,,,,,1,8,"Financial Services, Lending and Investments","Financial Services, FinTech, Venture Capital",4,Private Equity,4/12/2022,200000000,USD,200000000,Private Equity,Private Equity,200000000,USD,200000000,1092162194,USD,1092162194,,397.542,261.714,320,12897166,USD,12897166,"HSBC, TriplePoint Venture Growth, BNP Paribas, Citibank, Pollen Street Capital"
Envestnet,"Chicago Heights, Illinois, United States",Active,For Profit,4,3,1,,2,7,"Financial Services, Real Estate","Architecture, Financial Services, FinTech, Wealth Management",8,IPO,8/17/2020,517500000,USD,517500000,Post-IPO Equity,Post-IPO Equity,517500000,USD,517500000,557500000,USD,557500000,5,957.59,"378,046.67",638,101244525,USD,101244525,"BlackRock, TCV, Upfront Ventures, Foundation Capital, Keystone Capital"
Exo,"Redwood City, California, United States",Active,For Profit,,,,,6,23,Health Care,"Health Care, Medical, Medical Device",6,Late Stage Venture,7/29/2021,220000000,USD,220000000,Series C,Series C,220000000,USD,220000000,307595314,USD,307595314,,,,,,,,"BlackRock, RA Capital Management, Sony Innovation Fund, Intel Capital, TDK Ventures"
Deserve,"Palo Alto, California, United States",Active,For Profit,,,,,12,21,"Data and Analytics, Financial Services, Internet Services, Lending and Investments, Mobile, Payments, Software","Big Data, Credit Cards, FinTech, Internet, Mobile Payments",10,,10/27/2021,,,,Corporate Round,Corporate Round,,,,294200000,USD,294200000,2,352.43,"192,507.67",233,,,,"Alumni Ventures, Goldman Sachs, Mastercard, Accel, Credit Suisse"
EnKash,"Mumbai, Maharashtra, India",Active,For Profit,,,,,3,5,"Financial Services, Lending and Investments, Other, Payments","B2B, Credit Cards, Financial Services, FinTech, Payments",2,Early Stage Venture,4/4/2022,20000000,USD,20000000,Series B,Series B,20000000,USD,20000000,23000000,USD,23000000,,18.087,13.367,226,,,,"Mayfield Fund, Axilor Ventures, Ascent Capital, Baring Private Equity India, White Venture Capital"
Avail Finance,"Bangalore, Karnataka, India",Active,For Profit,,,,,4,8,"Financial Services, Mobile, Payments, Software","Finance, FinTech, Mobile Payments",5,M&A,5/3/2021,240000000,INR,3250374,Debt Financing,Series B,870000000,INR,11792653,41443027,USD,41443027,,1.288,"19,128.67",995,,,,"Alpha Wave Global, Kunal Shah, Matrix Partners India, Alteria Capital, Binny Bansal"
Bank of Montreal,"Toronto, Ontario, Canada",Active,For Profit,49,20,,19,,,"Financial Services, Lending and Investments","Banking, Crowdfunding, Financial Services",1,M&A,3/22/2022,2700000000,CAD,2145660124,Post-IPO Equity,Post-IPO Equity,2700000000,CAD,2145660124,2700000000,CAD,2145660124,5,"10,693,800","15,258,708.67",419,1908811963,USD,1908811963,
Forto,"Berlin, Berlin, Germany",Active,For Profit,,,,,7,17,"Software, Transportation","Freight Service, Logistics, Shipping, Software, Supply Chain Management",6,Late Stage Venture,3/7/2022,250000000,USD,250000000,Series D,Series D,250000000,USD,250000000,593383184,USD,593383184,,54.038,"73,431.33",1.2,,,,"SoftBank Vision Fund, Global Founders Capital, Northzone, Disruptive, Cherry Ventures"
BitMart,"Grand Cayman, Midland, Cayman Islands",Active,For Profit,4,,,,2,5,"Financial Services, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Ethereum, Finance, FinTech",3,Early Stage Venture,11/29/2021,,,,Series B,Series B,,,,10000000,USD,10000000,3,"2,972,745","2,313,060.83",1.396,,,,"Fenbushi Capital, Kube VC, Alpha Square Group, Chaos Ventures, Alexander Capital Ventures"
Fundrise,"Washington, District of Columbia, United States",Active,For Profit,,,,,4,18,"Financial Services, Real Estate","Finance, Financial Services, FinTech, Real Estate, Real Estate Investment",8,,6/3/2021,300000000,USD,300000000,Debt Financing,Equity Crowdfunding,14500000,USD,14500000,355485000,USD,355485000,,"4,756,028","1,805,595.5",400,62100,USD,62100,"Goldman Sachs, Collaborative Fund, Terrence Rohan, Guggenheim Partners, Renren"
Amenitiz,"Barcelona, Catalonia, Spain",Active,For Profit,,,,,3,13,"Software, Travel and Tourism","Hospitality, SaaS",4,Early Stage Venture,4/5/2022,27000000,EUR,29446407,Series A,Series A,27000000,EUR,29446407,34320000,EUR,37824611,,41.806,"97,902.17",278,,,,"BACKED VC, Eight Roads Ventures, Point Nine, Otium Capital, Matt Robinson"
Fair,"Santa Monica, California, United States",Active,For Profit,,,,,9,37,"Financial Services, Internet Services, Manufacturing, Transportation","Automotive, Finance, Industrial, Industrial Manufacturing, Internet, Leasing",13,M&A,9/17/2019,500000000,USD,500000000,Debt Financing,Series B,385000000,USD,385000000,2101000000,USD,2101000000,,92.227,101.206,490,221608,USD,221608,"SoftBank, SoftBank Vision Fund, Valor Equity Partners, G Squared, Silicon Valley Bank"
Go1,"Brisbane, Queensland, Australia",Active,For Profit,3,1,,,7,28,"Education, Professional Services, Software","Business Development, Corporate Training, SaaS, Training",8,Late Stage Venture,7/19/2021,200000000,USD,200000000,Series D,Series D,200000000,USD,200000000,283708345,USD,283708345,2,158.601,"63,961.67",253,,,,"FundersClub, Y Combinator, Tiger Global Management, SoftBank Vision Fund, AirTree Ventures"
Aptos,"Palo Alto, California, United States",Active,For Profit,,,,,1,13,"Design, Financial Services, Other, Software","Blockchain, FinTech, Web Design, Web Development",1,Seed,3/15/2022,200000000,USD,200000000,Seed,Seed,200000000,USD,200000000,200000000,USD,200000000,,42.762,,195,,,,"Andreessen Horowitz, BlockTower Capital, Hashed, Tiger Global Management, Paxos"
Course Hero,"Redwood City, California, United States",Active,For Profit,,,,,4,33,"Education, Internet Services, Other, Software","Crowdsourcing, E-Learning, EdTech, Education, Internet, Subscription Service",9,Late Stage Venture,12/14/2021,380000000,USD,380000000,Series C,Series C,380000000,USD,380000000,477393000,USD,477393000,3,"57,373,103","49,834,872.5",763,502056,USD,502056,"IDG Capital, TPG, Interplay, Innovation Endeavors, Maveron"
Coronet,"Tel Aviv, Tel Aviv, Israel",Active,For Profit,,,,,3,4,"Information Technology, Internet Services, Privacy and Security","Cloud Data Services, Cyber Security, Information Technology, Network Security",3,Late Stage Venture,4/5/2022,60000000,USD,60000000,Series C,Series C,60000000,USD,60000000,80000000,USD,80000000,13,7.132,"8,904.5",627,,,,"Balderton Capital, Jerusalem Venture Partners (JVP), MizMaa Ventures, Sound Ventures"
Bizongo,"Mumbai, Maharashtra, India",Active,For Profit,,,,,10,20,"Administrative Services, Commerce and Shopping, Other","B2B, E-Commerce, Marketplace, Packaging Services",10,Late Stage Venture,12/6/2021,110000000,USD,110000000,Series D,Series D,110000000,USD,110000000,240314603,USD,240314603,,27.924,"33,303.17",638,,,,"IDG Capital, B Capital Group, Tiger Global Management, Accel, International Finance Corporation"
Eleanor Health,"Waltham, Massachusetts, United States",Active,For Profit,,,,,3,8,"Health Care, Mobile","Health Care, Health Diagnostics, Hospital, mHealth, Psychology",3,Late Stage Venture,4/7/2022,50000000,USD,50000000,Series C,Series C,50000000,USD,50000000,81999881,USD,81999881,,178.41,"48,273.5",385,,,,"Warburg Pincus, General Catalyst, Northpond Ventures, Echo Health Ventures, Rethink Impact"
Ampere Computing,"Santa Clara, California, United States",Active,For Profit,1,,,1,2,3,"Hardware, Information Technology, Internet Services, Software","Cloud Computing, Cloud Data Services, Hardware",6,,3/31/2021,300000000,USD,300000000,Corporate Round,Corporate Round,300000000,USD,300000000,426000000,USD,426000000,4,70.368,"75,906.17",1.592,,,,"The Carlyle Group, Oracle, Arm Holdings"
Gogoro,"Taipei, T'ai-pei, Taiwan",Active,For Profit,,,,,3,9,"Energy, Sustainability, Transportation","Automotive, Electric Vehicle, Energy, Energy Efficiency, Transportation",4,Late Stage Venture,9/20/2017,300000000,USD,300000000,Series C,Series C,300000000,USD,300000000,480000000,USD,480000000,,"1,237,899","1,432,376.33",594,,,,"Temasek Holdings, Engie, HTC, Generation Investment Management, National Development Fund of Taiwan Government"
Birchbox,"New York, New York, United States",Active,For Profit,,,,,4,23,"Commerce and Shopping, Consumer Goods, Internet Services","Beauty, E-Commerce, E-Commerce Platforms, Internet",8,M&A,4/20/2020,10270831,USD,10270831,Series D,Series D,10270831,USD,10270831,97170831,USD,97170831,2,852.7,"579,529.17",451,3220643,USD,3220643,"Slow Ventures, Accel, Lerer Hippeau, Brand Foundry Ventures, Forerunner Ventures"
Chingari,"Bangalore, Karnataka, India",Active,For Profit,,,,,5,38,"Apps, Community and Lifestyle, Media and Entertainment, Mobile, Software, Video","Apps, Media and Entertainment, Mobile, Social, Video",10,Early Stage Venture,1/17/2022,1120000000,INR,15083025,Series A,Series A,1120000000,INR,15083025,88448327,USD,88448327,,"1,376,885","1,583,949.83",540,,,,"AngelList, Galaxy Digital, Kraken, White Star Capital, Protocol Labs"
Gaingels,"New York, New York, United States",Active,,480,5,157,16,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,7.29,"8,852.67",0,,,,
Delhivery,"Gurgaon, Haryana, India",Active,For Profit,6,4,,1,11,15,"Commerce and Shopping, Transportation","E-Commerce, Freight Service, Logistics, Shipping, Supply Chain Management",13,Late Stage Venture,9/6/2021,5580000000,INR,76323093,Series I,Series I,5580000000,INR,76323093,1412892455,USD,1412892455,,"10,141,248","13,967,999.5",885,,,,"Tiger Global Management, The Carlyle Group, Fidelity, SoftBank Vision Fund, Baillie Gifford"
Cogoport,"Mumbai, Maharashtra, India",Active,For Profit,,,,,2,3,Transportation,"Air Transportation, Freight Service, Logistics, Marine Transportation",5,Early Stage Venture,4/6/2022,50000000,USD,50000000,Series B,Series B,50000000,USD,50000000,67039911,USD,67039911,,279.125,"107,149.83",139,,,,"Tiger Global Management, Accel, DST Global"
ChargeAfter,"New York, New York, United States",Active,For Profit,,,,,5,11,"Commerce and Shopping, Financial Services, Lending and Investments","Consumer Lending, E-Commerce, Financial Services, FinTech, Lending, Point of Sale",7,Early Stage Venture,3/22/2022,44000000,USD,44000000,Series B,Series B,44000000,USD,44000000,61000000,USD,61000000,3,474.083,"140,777.5",299,,,,"Visa, Plug and Play Tech Center, Propel Venture Partners, Citi Ventures, Mitsubishi UFJ Financial Group"
Fluence,"Arlington, Virginia, United States",Active,For Profit,,,,,1,1,"Energy, Sustainability","Energy, Energy Storage, Renewable Energy",1,IPO,12/30/2020,125000000,USD,125000000,Private Equity,Private Equity,125000000,USD,125000000,125000000,USD,125000000,,35.676,22.787,602,4804297,USD,4804297,Qatar Investment Authority
Algolia,"San Francisco, California, United States",Active,For Profit,,,,,4,39,"Internet Services, Software","Cloud Computing, Search Engine, Semantic Search, Vertical Search",9,Late Stage Venture,7/28/2021,150000000,USD,150000000,Series D,Series D,150000000,USD,150000000,334220000,USD,334220000,33,"7,182,878","2,272,519",1.459,1333712,USD,1333712,"Twilio, 500 Startups, Y Combinator, Initialized Capital, Accel"
Flexport,"San Francisco, California, United States",Active,For Profit,35,,5,,6,80,Transportation,"Freight Service, Logistics, Shipping, Supply Chain Management",12,Late Stage Venture,2/7/2022,935000000,USD,935000000,Series E,Series E,935000000,USD,935000000,2239000000,USD,2239000000,10,635.145,"468,070.33",381,33440930,USD,33440930,"Shopify, Andreessen Horowitz, 8VC, FundersClub, Wells Fargo"
Apollo.io,"San Francisco, California, United States",Active,For Profit,,,,,4,12,"Information Technology, Sales and Marketing, Software","Lead Generation, Sales, Sales Automation, Software",5,Late Stage Venture,3/3/2022,110000000,USD,110000000,Series C,Series C,110000000,USD,110000000,151320000,USD,151320000,3,"4,281,481","4,067,567.17",497,,,,"Sequoia Capital, Y Combinator, Tribe Capital, Nexus Venture Partners, Sand Hill Angels"
Brightline,"Palo Alto, California, United States",Active,For Profit,,,,,5,15,"Community and Lifestyle, Health Care","Child Care, Family, Health Care, Home Health Care",5,Late Stage Venture,3/29/2022,105000000,USD,105000000,Series C,Series C,105000000,USD,105000000,209000000,USD,209000000,,98.601,"30,462.67",56,,,,"Gaingels, GV, City Light Capital, Oak HC/FT, Threshold"
Emitwise,"London, England, United Kingdom",Active,For Profit,,,,,2,11,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Sustainability, Transportation","Artificial Intelligence, CleanTech, GreenTech, SaaS, Supply Chain Management",4,Early Stage Venture,3/30/2022,9000000,EUR,10045315,Series A,Series A,9000000,EUR,10045315,16645316,USD,16645316,,8.982,"3,967.67",49,,,,"ArcTern Ventures, True Ventures, Michael Pennington, Social Impact Capital, Saltwater Capital"
DataStax,"Santa Clara, California, United States",Active,For Profit,,,,,5,20,"Data and Analytics, Information Technology, Internet Services, Software","Big Data, Cloud Data Services, Database, Enterprise Software, Software",10,,8/1/2021,,,,Venture - Series Unknown,Venture - Series Unknown,,,,227571788,USD,227571788,38,550.215,"466,211.5",904,10035617,USD,10035617,"Sequoia Capital, Lightspeed Venture Partners, Crosslink Capital, Scale Venture Partners, Kleiner Perkins"
